"id","title","provider","opportunity_type","deadline","deadline_parsed","days_to_deadline","geography","source_language","summary","status","source_url"
"MOC-0003","Postdoctoral Researcher in Migration Studies — ERC Consolidator Grant, US and Latin America","IMISCOE Jobs & Opportunities / University for Continuing Education Krems","fellowship/postdoc","2026-08-24","2026-08-24","73","Europe","English","Three-year postdoctoral researcher position at the University for Continuing Education Krems within an ERC project on ethical dilemmas of migrant solidarity. The postdoc will lead a work package on sanctuary/solidarity cities in the United States and Latin America, using qualitative fieldwork and contributing to theory-building on migration governance and solidarity.","open","https://www.imiscoe.org/news-and-blog/jobs-opportunities/2659-postdoctoral-researcher-in-migration-studies-m-f-d-erc-consolidator-grant-us-latin-america"
"MOC-0006","HORIZON-CL2-2026-01-TRANSFO-08 — Strengthened implementation of the EU Pact on Migration and Asylum and a focus on inclusion, integration, and health","EU Funding & Tenders Portal","academic funding","2026-09-22","2026-09-22","102","Europe","English","Horizon Europe research funding topic on the implementation of the EU Pact on Migration and Asylum, with a focus on evidence-based migration governance, asylum management, age assessment of minors, resettlement, legal pathways, migrant and refugee health data, and long-term social inclusion and integration strategies.","open","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/calls-for-proposals?callIdentifier=HORIZON-CL2-2026-01"
"MOC-0007","Luxembourg subsidies for intercultural projects supporting third-country national integration","European Commission / Luxembourg Ministry of Family, Solidarity, Living Together and Hospitality","NGO/civil society funding","2026-10-08","2026-10-08","118","Europe","English","Luxembourg funding scheme for non-profit organisations, foundations and social impact entities developing projects that support intercultural living together, anti-racism, equal opportunities and the integration of third-country nationals. Applications can be submitted during the year, with a key deadline on 8 October 2026.","open","https://home-affairs.ec.europa.eu/news/luxembourg-combats-racism-against-and-poverty-among-migrants-2026-03-26_en"
"MOC-0013","Call for Proposals - Migration Partnerships","Migration Partnership Facility / ICMPD","partnership opportunity","rolling / open deadline","","","Europe","English","Rolling call under the Migration Partnership Facility supporting EU migration priorities with partner countries and projects aligned with EU Talent Partnerships. It can fund migration governance, legal/labour mobility, migrant protection, asylum policy, reintegration, diaspora-related activities and capacity-building. It is highly relevant but administratively complex and not designed for small informal organisations.","open","https://www.migrationpartnershipfacility.eu/calls-for-proposals/cfp-migration-partnerships"
"MOC-0021","Making Europe a global magnet for talent - Attracting and retaining students, researchers and high-skilled workers from outside the EU","European Commission — Horizon Europe Cluster 2","academic funding","2026-09-23","2026-09-23","103","Global","English","Horizon Europe research funding topic on attracting and retaining students, researchers and high-skilled workers from outside the EU. The topic is strongly migration-relevant but primarily suited to research consortia rather than small organisations applying alone.","open","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/calls-for-proposals?callIdentifier=HORIZON-CL2-2026-01&frameworkProgramme=43108390&isExactMatch=true&order=DESC&pageNumber=1&pageSize=50&sortBy=startDate&status=31094501%2C31094502%2C31094503"
"MOC-0046","UNHCR — Innovation Accelerator 2026","UNHCR Innovation Service","humanitarian innovation accelerator / catalytic funding","2026-07-12","2026-07-12","30","Multiple regions","English","The UNHCR Innovation Service is running the 2026 Innovation Accelerator. The opportunity is relevant to innovation, refugee protection, displacement response, community-led solutions, and practical support for forcibly displaced people, with a listed deadline of 12 July 2026.","open","https://www.unhcr.org/innovation/accelerator/"
"MOC-0041","ARUA — Early-Career Research Fellowships, Migration and Mobility","African Research Universities Alliance","research fellowship","2026-07-15","2026-07-15","33","Africa","English","The African Research Universities Alliance is offering early-career research fellowships on migration and mobility. The opportunity is relevant to researchers working on African migration, mobility, development, and regional research collaboration, with a listed deadline of 15 July 2026.","open","https://arua.org/early-career-research-fellowships/"
"MOC-0049","African Union ECOSOCC — 5th Permanent General Assembly for African and Diaspora CSOs","African Union ECOSOCC","civil society participation / diaspora governance opportunity","2026-07-15","2026-07-15","33","Africa","English","African Union ECOSOCC is convening the 5th Permanent General Assembly for African and Diaspora civil society organisations. The opportunity is relevant to diaspora engagement, civil society participation, African governance, and transnational civic networks, with a listed deadline of 15 July 2026.","open","https://ecosocc.au.int/en/elections"
"MOC-0062","AI Platform Engineer","International Rescue Committee","job","2026-08-31","2026-08-31","79","Global","English","ReliefWeb lists this job opportunity as relevant to migration, displacement, refugee protection, or humanitarian response. The role is associated with International Rescue Committee, geography: Kenya, with a listed deadline of 2026-08-31.","active","https://reliefweb.int/job/4214925/ai-platform-engineer"
"MOC-0070","Country Director South Sudan (Re-advertisement)","Danish Refugee Council","job","2026-08-01","","48","Africa","English","Danish Refugee Council job opportunity in South Sudan. It is relevant to migration governance because the source evidence includes: refugee | displacement | protection. Final publication should verify the exact application instructions on the ReliefWeb source page.","public","https://reliefweb.int/job/4215700/country-director-south-sudan-re-advertisement"
